"U.S. residential sector energy consumption by energy source, 1950 to 2021",,,,,
quadrillion British thermal units,,,,,
"Data source: U.S. Energy Information Administration, <em>Monthly Energy Review</em>, Table 2.2, April 2022, preliminary data for 2021",,,,,
"Note: Electricity excludes losses in electricity generation and delivery. Petroleum includes heating oil, liquefied petroleum gas (propane), and kerosene. Renewables includes wood, geothermal energy, and solar energy.",,,,,
An interactive area flow chart showing annual U.S. residential sector energy consumption by type of energy source in 1950 through 2021.,,,,,
year,coal,natural gas,petroleum,renewables,electricity
1950,1.261,1.240,1.322,1.006,0.246
1951,1.159,1.526,1.461,0.958,0.284
1952,1.079,1.679,1.501,0.899,0.319
1953,0.966,1.744,1.511,0.832,0.355
1954,0.858,1.961,1.644,0.8,0.397
1955,0.867,2.198,1.767,0.775,0.438
1956,0.839,2.409,1.853,0.739,0.49
1957,0.654,2.588,1.801,0.702,0.535
1958,0.663,2.809,1.964,0.688,0.578
1959,0.573,3.015,1.954,0.647,0.63
1960,0.585,3.212,2.228,0.627,0.687
1961,0.534,3.362,2.293,0.587,0.732
1962,0.521,3.6,2.399,0.56,0.794
1963,0.438,3.7,2.415,0.537,0.856
1964,0.379,3.908,2.326,0.499,0.928
1965,0.352,4.028,2.432,0.468,0.993
1966,0.349,4.275,2.422,0.455,1.081
1967,0.299,4.451,2.528,0.434,1.16
1968,0.264,4.588,2.655,0.426,1.302
1969,0.248,4.875,2.706,0.415,1.456
1970,0.209,4.987,2.726,0.401,1.591
1971,0.172,5.126,2.749,0.382,1.704
1972,0.116,5.264,2.868,0.38,1.838
1973,0.094,4.977,2.801,0.354,1.976
1974,0.082,4.901,2.555,0.371,1.973
1975,0.063,5.023,2.479,0.425,2.007
1976,0.059,5.147,2.704,0.482,2.069
1977,0.057,4.913,2.682,0.542,2.202
1978,0.049,4.981,2.608,0.622,2.301
1979,0.037,5.055,2.099,0.728,2.33
1980,0.031,4.825,1.734,0.85,2.448
1981,0.03,4.614,1.531,0.87,2.464
1982,0.032,4.711,1.434,0.97,2.489
1983,0.031,4.478,1.354,0.97,2.562
1984,0.04,4.661,1.531,0.98,2.662
1985,0.039,4.534,1.566,1.01,2.709
1986,0.04,4.405,1.541,0.92,2.795
1987,0.037,4.42,1.617,0.85,2.902
1988,0.037,4.735,1.675,0.91,3.046
1989,0.031,4.903,1.661,0.977,3.09
1990,0.031,4.487,1.395,0.64,3.153
1991,0.025,4.667,1.381,0.672,3.26
1992,0.026,4.805,1.415,0.705,3.193
1993,0.026,5.058,1.439,0.617,3.394
1994,0.021,4.96,1.408,0.588,3.441
1995,0.017,4.954,1.374,0.589,3.557
1996,0.017,5.354,1.483,0.61,3.694
1997,0.016,5.093,1.422,0.5,3.671
1998,0.012,4.646,1.304,0.449,3.856
1999,0.014,4.835,1.465,0.459,3.906
2000,0.011,5.105,1.554,0.486,4.069
2001,0.012,4.889,1.529,0.435,4.1
2002,0.012,4.995,1.457,0.443,4.317
2003,0.012,5.209,1.547,0.465,4.353
2004,0.011,4.981,1.52,0.475,4.408
2005,0.008,4.946,1.45,0.496,4.638
2006,0.006,4.476,1.222,0.451,4.611
2007,0.008,4.835,1.249,0.497,4.75
2008,0,5.01,1.325,0.555,4.711
2009,0,4.883,1.158,0.597,4.657
2010,0,4.878,1.12,0.642,4.933
2011,0,4.805,1.034,0.635,4.855
2012,0,4.242,0.886,0.557,4.69
2013,0,5.023,0.963,0.703,4.759
2014,0,5.242,1.036,0.728,4.801
2015,0,4.777,1.007,0.681,4.791
2016,0,4.506,0.878,0.646,4.815
2017,0,4.563,0.871,0.662,4.704
2018,0,5.174,1.022,0.785,5.013
2019,0,5.205,1.045,0.835,4.914
2020,0,4.818,0.934,0.788,4.988
2021,0,4.825,0.928,0.832,5.038
